Simulation,Variance,H0,H1,H2,Avg_H0,Avg_H1,Avg_H2,Var_H0,Var_H1,Var_H2
0,0.0,51.0,26.0,8.0,24.04,5.961538461538462,3.5,226.5584,24.34467455621302,4.5
0,0.1,58.0,30.0,9.0,21.05047435902484,5.165798064072927,3.1561075846354165,259.92680342749077,24.909079968435996,5.0415781408309055
0,0.2,53.0,28.0,10.0,23.08959941028689,5.552017756870815,2.851314163208008,240.14463245818732,25.4818036758471,5.1915725390934675
0,0.3,55.0,28.0,11.0,22.16902774013579,5.699228014264788,2.7259403575550425,247.34870135625502,25.041001390483277,5.544985234934388
0,0.4,56.0,29.0,11.0,21.79614763002504,5.44506757012729,2.608333934437145,255.21669352037247,23.62212200974883,5.082488190309839
0,0.5,55.0,25.0,9.0,22.106503584042745,6.068023071289063,3.1793238321940103,250.72786255136987,25.103276325149558,4.434365163269427
0,0.6,56.0,30.0,10.0,21.814078798771583,5.2541911999384565,2.677346038818359,254.69864956855378,23.547437473041047,4.739489095808822
0,0.7,51.0,27.0,10.0,23.872065700292588,5.848608228895399,2.79455680847168,230.04118289568814,25.72876594380589,4.836792243243108
0,0.8,55.0,30.0,10.0,22.109949733354842,5.17623256444931,3.4765716552734376,248.21988313813455,23.44568106990717,8.227691989177256
0,0.9,55.0,34.0,10.0,22.17638102284184,4.94234456560191,2.8831832885742186,246.321835632805,25.176747110036587,4.649000829434372
0,1.0,53.0,31.0,10.0,22.849070829921402,5.030724733106552,2.146211624145508,242.699958849407,24.32208599763483,2.4246664055135625
0,1.1,54.0,28.0,9.0,22.329076573393255,5.708780271666391,3.177178700764974,233.923738653848,26.318316492740262,3.960217087956456
0,1.2,51.0,28.0,10.0,23.65480293519795,5.750550448894501,3.194792938232422,229.61992776955435,25.18381222333716,6.596939841747516
0,1.3,51.0,28.0,13.0,23.544370338916778,6.195281437465122,2.5527431781475363,222.59417309966233,26.522113824652696,4.083573723024689
0,1.4,52.0,31.0,12.0,23.285989796706275,5.930109208629977,2.302525838216146,236.43472822207204,23.304323045111435,4.114514787366917
0,1.5,51.0,30.0,13.0,23.84116494178772,5.605857664346695,1.9799772409292369,219.71847455305513,21.796652822513927,2.519600062962062
0,1.6,52.0,28.0,9.0,22.78838384911126,6.452858413968768,2.9029663933648004,225.1837797862881,31.543507815473617,4.972771178710383
