simulation,sparsity,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.1,8.0,0.0,0.0,21.125,,,507.609375,,
1,0.1,8.0,0.0,0.0,20.875,,,695.859375,,
2,0.1,7.0,0.0,0.0,28.0,,,1215.7142857142858,,
3,0.1,8.0,0.0,0.0,29.75,,,942.9375,,
4,0.1,9.0,0.0,0.0,16.11111111111111,,,440.32098765432085,,
5,0.1,8.0,1.0,0.0,30.75,1.0,,485.4375,0.0,
6,0.1,8.0,0.0,0.0,28.5,,,638.25,,
7,0.1,8.0,0.0,0.0,26.25,,,1096.4375,,
8,0.1,9.0,0.0,0.0,17.22222222222222,,,221.7283950617284,,
9,0.1,9.0,0.0,0.0,30.77777777777778,,,1938.617283950617,,
10,0.1,8.0,0.0,0.0,25.375,,,496.234375,,
11,0.1,7.0,0.0,0.0,31.571428571428573,,,263.38775510204084,,
12,0.1,8.0,0.0,0.0,27.125,,,858.609375,,
13,0.1,8.0,0.0,0.0,24.125,,,294.109375,,
14,0.1,8.0,0.0,0.0,23.75,,,503.4375,,
15,0.1,9.0,0.0,0.0,31.444444444444443,,,725.1358024691358,,
16,0.1,9.0,0.0,0.0,20.333333333333332,,,246.00000000000006,,
17,0.1,7.0,0.0,0.0,31.285714285714285,,,554.7755102040817,,
18,0.1,7.0,1.0,0.0,20.142857142857142,11.0,,244.97959183673467,0.0,
19,0.1,8.0,0.0,0.0,22.625,,,459.734375,,
20,0.1,9.0,1.0,0.0,24.333333333333332,3.0,,212.88888888888886,0.0,
21,0.1,9.0,0.0,0.0,28.444444444444443,,,940.4691358024692,,
22,0.1,9.0,0.0,0.0,17.444444444444443,,,746.246913580247,,
23,0.1,9.0,0.0,0.0,33.55555555555556,,,1908.0246913580247,,
24,0.1,9.0,0.0,0.0,22.444444444444443,,,447.1358024691358,,
25,0.1,9.0,1.0,0.0,28.333333333333332,5.0,,355.1111111111111,0.0,
26,0.1,8.0,0.0,0.0,26.375,,,455.234375,,
27,0.1,8.0,0.0,0.0,37.75,,,843.1875,,
28,0.1,9.0,1.0,0.0,27.77777777777778,2.0,,601.0617283950619,0.0,
29,0.1,9.0,0.0,0.0,29.333333333333332,,,698.0,,
30,0.1,9.0,0.0,0.0,28.0,,,926.4444444444445,,
31,0.1,9.0,0.0,0.0,24.444444444444443,,,1304.6913580246915,,
32,0.1,8.0,1.0,0.0,31.75,1.0,,116.1875,0.0,
33,0.1,9.0,0.0,0.0,25.333333333333332,,,586.0,,
34,0.1,8.0,0.0,0.0,39.25,,,854.9375,,
35,0.1,9.0,0.0,0.0,25.11111111111111,,,945.2098765432098,,
36,0.1,9.0,1.0,0.0,29.333333333333332,17.0,,608.0000000000001,0.0,
37,0.1,8.0,0.0,0.0,26.75,,,297.1875,,
38,0.1,6.0,0.0,0.0,34.5,,,1259.5833333333333,,
39,0.1,9.0,0.0,0.0,23.555555555555557,,,484.6913580246914,,
40,0.1,9.0,0.0,0.0,10.444444444444445,,,100.0246913580247,,
41,0.1,9.0,0.0,0.0,24.555555555555557,,,1220.0246913580247,,
42,0.1,7.0,0.0,0.0,36.42857142857143,,,1033.1020408163265,,
43,0.1,8.0,1.0,0.0,35.625,25.0,,799.984375,0.0,
