simulation,variance,h0,h1,h2,avg_h0,avg_h1,avg_h2,var_h0,var_h1,var_h2
0,0.0,75.0,39.0,24.0,21.24,3.948717948717949,1.5416666666666667,146.44906666666668,11.946088099934252,0.6649305555555555
1,0.0,82.0,42.0,11.0,20.146341463414632,4.309523809523809,2.090909090909091,105.19809637120761,8.975623582766438,2.628099173553719
2,0.0,81.0,55.0,28.0,24.444444444444443,4.8545454545454545,2.5,174.09876543209876,11.651570247933883,2.25
3,0.0,79.0,54.0,30.0,25.734177215189874,5.703703703703703,2.1333333333333333,146.34705976606315,16.875171467764066,1.2488888888888894
4,0.0,82.0,50.0,31.0,25.548780487804876,4.98,1.935483870967742,107.41835217132657,11.1796,1.4151925078043703
5,0.0,80.0,54.0,42.0,24.65,4.888888888888889,2.6904761904761907,181.40249999999997,11.691358024691356,3.308956916099773
6,0.0,76.0,49.0,23.0,24.80263157894737,4.938775510204081,2.0869565217391304,130.07946675900277,10.588088296543106,1.9924385633270325
7,0.0,80.0,34.0,14.0,21.6625,4.764705882352941,2.142857142857143,130.34859375,10.062283737024222,1.1224489795918369
8,0.0,82.0,43.0,5.0,21.79268292682927,4.604651162790698,2.0,118.33506841165972,11.308815575987019,1.6
9,0.0,75.0,49.0,38.0,26.933333333333334,5.489795918367347,2.4210526315789473,169.2088888888889,15.8009162848813,2.6121883656509697
10,0.0,80.0,28.0,11.0,19.3375,5.607142857142857,1.8181818181818181,143.54859374999998,16.95280612244898,0.694214876033058
11,0.0,74.0,39.0,25.0,23.756756756756758,6.461538461538462,2.52,150.45434623813003,21.53057199211045,3.0496
12,0.0,79.0,31.0,13.0,20.670886075949365,4.774193548387097,1.8461538461538463,117.05624098702133,10.94901144640999,1.8224852071005913
13,0.0,81.0,45.0,18.0,23.54320987654321,5.066666666666666,2.0,131.7543057460753,11.173333333333336,2.2222222222222223
14,0.0,77.0,33.0,12.0,19.961038961038962,5.242424242424242,2.5,95.1283521673132,16.001836547291095,1.4166666666666667
15,0.0,85.0,53.0,15.0,21.023529411764706,4.9245283018867925,2.2,124.47003460207613,13.08864364542542,1.7600000000000002
16,0.0,79.0,49.0,20.0,23.354430379746834,4.510204081632653,2.05,128.1275436628745,11.10703873386089,1.9474999999999998
17,0.0,78.0,53.0,27.0,25.871794871794872,5.452830188679245,2.7037037037037037,113.75279421433265,10.662869348522607,3.023319615912208
18,0.0,78.0,39.0,19.0,21.0,4.6923076923076925,2.526315789473684,143.17948717948718,12.110453648915186,2.4598337950138505
19,0.0,79.0,50.0,22.0,25.670886075949365,5.56,2.3181818181818183,150.95497516423652,17.8064,2.853305785123967
20,0.0,76.0,50.0,18.0,24.06578947368421,5.44,2.8333333333333335,149.11409279778394,21.3664,4.694444444444445
21,0.0,79.0,33.0,6.0,17.379746835443036,3.0303030303030303,1.5,79.19756449286972,5.4839302112029396,0.25
22,0.0,76.0,41.0,13.0,20.157894736842106,4.878048780487805,1.8461538461538463,147.84349030470915,10.692444973230218,1.0532544378698225
23,0.0,79.0,40.0,5.0,21.0,6.5,1.6,111.34177215189874,16.5,0.64
24,0.0,83.0,42.0,20.0,23.674698795180724,5.714285714285714,2.25,125.42429960807085,18.680272108843536,1.9875
25,0.0,84.0,39.0,16.0,18.154761904761905,4.17948717948718,2.25,122.6546201814059,10.095989480604866,1.4375
26,0.0,73.0,44.0,11.0,25.301369863013697,4.431818181818182,1.7272727272727273,93.55301182210546,17.69989669421488,1.471074380165289
27,0.0,84.0,51.0,26.0,20.976190476190474,4.254901960784314,1.6538461538461537,111.40419501133788,9.758554402153019,0.7647928994082841
28,0.0,83.0,51.0,27.0,23.204819277108435,4.7254901960784315,2.5925925925925926,137.68094062998983,9.532487504805845,4.167352537722907
29,0.0,79.0,37.0,9.0,22.063291139240505,4.0,2.0,179.90738663675688,10.378378378378379,1.1111111111111112
30,0.0,78.0,46.0,17.0,24.384615384615383,5.260869565217392,2.5294117647058822,152.26232741617355,11.36672967863894,2.7197231833910034
31,0.0,80.0,30.0,7.0,16.7875,3.066666666666667,2.142857142857143,118.96734375000001,5.528888888888889,1.8367346938775508
32,0.0,85.0,51.0,32.0,21.376470588235293,5.235294117647059,2.21875,89.36415224913496,15.474048442906573,1.9833984375
33,0.0,83.0,49.0,21.0,25.626506024096386,5.877551020408164,2.238095238095238,169.24604441863843,15.780924614743858,2.3718820861678003
34,0.0,77.0,39.0,19.0,25.31168831168831,5.256410256410256,2.3157894736842106,191.20155169505819,14.9086127547666,1.7950138504155122
35,0.0,79.0,48.0,31.0,23.936708860759495,4.354166666666667,2.3548387096774195,92.7175132190354,10.728732638888888,1.6482830385015605
36,0.0,75.0,42.0,17.0,23.506666666666668,3.8095238095238093,2.235294117647059,110.96995555555557,7.4399092970521545,1.5916955017301038
37,0.0,75.0,37.0,13.0,22.186666666666667,4.108108108108108,2.3846153846153846,112.0184888888889,11.069393718042365,1.928994082840236
38,0.0,76.0,27.0,6.0,19.92105263157895,4.407407407407407,2.0,139.1253462603878,10.01920438957476,1.3333333333333333
39,0.0,89.0,63.0,29.0,21.415730337078653,4.888888888888889,2.4482758620689653,98.51256154525944,10.54320987654321,3.9024970273483945
40,0.0,76.0,30.0,8.0,20.38157894736842,4.266666666666667,1.875,143.97281855955677,9.728888888888891,0.859375
41,0.0,81.0,43.0,11.0,23.59259259259259,5.558139534883721,2.0,105.08093278463647,22.293131422390484,0.9090909090909091
42,0.0,78.0,49.0,24.0,22.71794871794872,4.183673469387755,2.2083333333333335,124.53583168967786,10.517284464806332,1.831597222222222
43,0.0,75.0,46.0,24.0,23.04,4.456521739130435,2.0416666666666665,158.86506666666662,11.769848771266544,1.2065972222222223
44,0.0,83.0,34.0,7.0,19.49397590361446,4.735294117647059,3.0,117.40659021628687,15.959342560553633,2.5714285714285716
45,0.0,75.0,35.0,25.0,24.733333333333334,6.257142857142857,2.08,189.52888888888887,22.876734693877555,2.6335999999999995
46,0.0,76.0,36.0,9.0,22.592105263157894,5.277777777777778,2.888888888888889,135.05730609418282,14.75617283950617,1.654320987654321
47,0.0,82.0,43.0,14.0,20.158536585365855,4.534883720930233,1.6428571428571428,116.30413444378348,11.9697133585722,1.9438775510204083
48,0.0,79.0,39.0,17.0,24.658227848101266,5.897435897435898,2.235294117647059,133.16167280884474,21.68178829717291,1.9446366782006923
49,0.0,75.0,48.0,24.0,27.186666666666667,5.833333333333333,2.625,176.0984888888889,18.055555555555557,2.484375
0,5.0,86.0,49.0,29.0,19.13311927990858,3.616163977554866,1.4108818317281788,172.98273412760759,11.577620314920765,1.086658742131669
1,5.0,89.0,52.0,21.0,19.100262827250393,3.49284395804772,1.3838582720075334,122.57047252846866,9.33578792600813,1.711042614315944
2,5.0,91.0,68.0,34.0,22.14989717206457,4.033153071123011,2.284091500674977,211.14447944028348,10.450965116348081,3.207948464074875
3,5.0,87.0,60.0,47.0,24.083911319916275,5.4599408636490505,1.8000879490629156,173.97786857823158,17.599994268678184,2.4136332049293796
4,5.0,92.0,64.0,42.0,23.2210461333718,3.965682938694954,1.594439461117699,150.6695261618467,12.143043865086849,1.6977858182709866
5,5.0,94.0,68.0,47.0,21.691581165219876,4.204188129481147,2.3426675187780504,217.37192793325366,11.363512294525124,3.668489773642711
6,5.0,82.0,61.0,28.0,23.525874225104726,3.99721999246566,1.7720907756260462,154.24464632412514,11.01890480173957,1.9867594971131122
7,5.0,87.0,41.0,17.0,20.44896061693843,3.871985501632458,1.8810160019818474,148.15894512363758,9.668006488702712,1.4530769786257685
8,5.0,93.0,49.0,14.0,19.84435318266192,4.146184921264648,1.372530800955636,152.38906861431244,13.896445476594506,1.091810941347812
9,5.0,82.0,57.0,42.0,25.09645911178938,4.956792863837459,2.0077042352585566,207.4230494283383,18.73245510256149,2.352165704487008
10,5.0,85.0,39.0,22.0,18.77064256668091,4.386903819365379,1.2711865143342451,151.6465516347213,16.62728423428037,1.1363299748812747
11,5.0,80.0,49.0,36.0,22.533883393090218,5.536357726369586,2.001005914476183,177.9172450892876,21.519368467683567,3.091611218687079
