country,country_code,gene_type,homology,b_time,d_time
Philippines,ph,recom,0,0.0,6.0
Philippines,ph,recom,0,0.0,15.0
Philippines,ph,recom,0,0.0,38.0
Philippines,ph,nonrecom,0,0.0,2.0
Philippines,ph,nonrecom,0,0.0,4.0
Philippines,ph,nonrecom,0,0.0,5.0
Philippines,ph,nonrecom,0,0.0,12.0
Philippines,ph,nonrecom,0,0.0,13.0
Philippines,ph,nonrecom,0,0.0,19.0
Philippines,ph,mixed,0,0.0,1.0
Philippines,ph,mixed,0,0.0,1.0
Philippines,ph,mixed,0,0.0,2.0
Philippines,ph,mixed,0,0.0,4.0
Philippines,ph,mixed,0,0.0,4.0
Philippines,ph,mixed,0,0.0,4.0
Philippines,ph,mixed,0,0.0,5.0
Philippines,ph,mixed,0,0.0,11.0
Philippines,ph,mixed,0,0.0,12.0
Philippines,ph,mixed,0,0.0,18.0
