country,country_code,gene_type,homology,b_time,d_time
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,1.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,2.0
United Kingdom,uk,recom,0,0.0,3.0
United Kingdom,uk,recom,0,0.0,3.0
United Kingdom,uk,recom,0,0.0,3.0
United Kingdom,uk,recom,0,0.0,3.0
United Kingdom,uk,recom,0,0.0,3.0
United Kingdom,uk,recom,0,0.0,3.0
United Kingdom,uk,recom,0,0.0,3.0
United Kingdom,uk,recom,0,0.0,3.0
United Kingdom,uk,recom,0,0.0,4.0
United Kingdom,uk,recom,0,0.0,4.0
United Kingdom,uk,recom,0,0.0,4.0
United Kingdom,uk,recom,0,0.0,4.0
United Kingdom,uk,recom,0,0.0,4.0
United Kingdom,uk,recom,0,0.0,4.0
United Kingdom,uk,recom,0,0.0,4.0
United Kingdom,uk,recom,0,0.0,4.0
United Kingdom,uk,recom,0,0.0,4.0
United Kingdom,uk,recom,0,0.0,5.0
United Kingdom,uk,recom,0,0.0,5.0
United Kingdom,uk,recom,0,0.0,5.0
United Kingdom,uk,recom,0,0.0,6.0
United Kingdom,uk,recom,0,0.0,6.0
United Kingdom,uk,recom,0,0.0,6.0
United Kingdom,uk,recom,0,0.0,7.0
United Kingdom,uk,recom,0,0.0,8.0
United Kingdom,uk,recom,0,0.0,8.0
United Kingdom,uk,recom,0,0.0,9.0
United Kingdom,uk,recom,0,0.0,10.0
United Kingdom,uk,recom,0,0.0,10.0
United Kingdom,uk,recom,0,0.0,11.0
United Kingdom,uk,recom,0,0.0,11.0
United Kingdom,uk,recom,0,0.0,12.0
United Kingdom,uk,recom,0,0.0,16.0
United Kingdom,uk,recom,0,0.0,39.0
United Kingdom,uk,recom,0,0.0,42.0
United Kingdom,uk,recom,0,0.0,114.0
United Kingdom,uk,recom,1,3.0,4.0
United Kingdom,uk,recom,1,3.0,4.0
United Kingdom,uk,recom,1,4.0,6.0
United Kingdom,uk,recom,1,6.0,7.0
United Kingdom,uk,recom,1,7.0,8.0
United Kingdom,uk,recom,1,10.0,13.0
United Kingdom,uk,recom,1,16.0,17.0
United Kingdom,uk,recom,1,115.0,118.0
United Kingdom,uk,recom,2,13.0,14.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,1.0
United Kingdom,uk,nonrecom,0,0.0,2.0
United Kingdom,uk,nonrecom,0,0.0,2.0
United Kingdom,uk,nonrecom,0,0.0,2.0
United Kingdom,uk,nonrecom,0,0.0,2.0
United Kingdom,uk,nonrecom,0,0.0,2.0
United Kingdom,uk,nonrecom,0,0.0,2.0
United Kingdom,uk,nonrecom,0,0.0,2.0
United Kingdom,uk,nonrecom,0,0.0,2.0
United Kingdom,uk,nonrecom,0,0.0,3.0
United Kingdom,uk,nonrecom,0,0.0,3.0
United Kingdom,uk,nonrecom,0,0.0,3.0
United Kingdom,uk,nonrecom,0,0.0,3.0
United Kingdom,uk,nonrecom,0,0.0,3.0
United Kingdom,uk,nonrecom,0,0.0,3.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,4.0
United Kingdom,uk,nonrecom,0,0.0,5.0
United Kingdom,uk,nonrecom,0,0.0,5.0
United Kingdom,uk,nonrecom,0,0.0,5.0
United Kingdom,uk,nonrecom,0,0.0,5.0
United Kingdom,uk,nonrecom,0,0.0,5.0
United Kingdom,uk,nonrecom,0,0.0,5.0
United Kingdom,uk,nonrecom,0,0.0,5.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,6.0
United Kingdom,uk,nonrecom,0,0.0,8.0
United Kingdom,uk,nonrecom,0,0.0,8.0
United Kingdom,uk,nonrecom,0,0.0,8.0
United Kingdom,uk,nonrecom,0,0.0,9.0
United Kingdom,uk,nonrecom,0,0.0,9.0
United Kingdom,uk,nonrecom,0,0.0,9.0
United Kingdom,uk,nonrecom,0,0.0,10.0
United Kingdom,uk,nonrecom,0,0.0,10.0
United Kingdom,uk,nonrecom,0,0.0,10.0
United Kingdom,uk,nonrecom,0,0.0,10.0
United Kingdom,uk,nonrecom,0,0.0,10.0
United Kingdom,uk,nonrecom,0,0.0,10.0
United Kingdom,uk,nonrecom,0,0.0,10.0
United Kingdom,uk,nonrecom,0,0.0,11.0
United Kingdom,uk,nonrecom,0,0.0,12.0
United Kingdom,uk,nonrecom,0,0.0,12.0
United Kingdom,uk,nonrecom,0,0.0,13.0
United Kingdom,uk,nonrecom,0,0.0,14.0
United Kingdom,uk,nonrecom,0,0.0,15.0
United Kingdom,uk,nonrecom,0,0.0,15.0
United Kingdom,uk,nonrecom,0,0.0,16.0
United Kingdom,uk,nonrecom,0,0.0,16.0
United Kingdom,uk,nonrecom,0,0.0,16.0
United Kingdom,uk,nonrecom,0,0.0,17.0
United Kingdom,uk,nonrecom,0,0.0,18.0
United Kingdom,uk,nonrecom,0,0.0,18.0
United Kingdom,uk,nonrecom,0,0.0,19.0
United Kingdom,uk,nonrecom,0,0.0,19.0
United Kingdom,uk,nonrecom,0,0.0,22.0
United Kingdom,uk,nonrecom,0,0.0,23.0
United Kingdom,uk,nonrecom,0,0.0,23.0
United Kingdom,uk,nonrecom,0,0.0,26.0
United Kingdom,uk,nonrecom,0,0.0,40.0
United Kingdom,uk,nonrecom,0,0.0,60.0
United Kingdom,uk,nonrecom,0,0.0,283.0
United Kingdom,uk,nonrecom,1,6.0,7.0
United Kingdom,uk,nonrecom,1,19.0,21.0
United Kingdom,uk,nonrecom,1,20.0,21.0
United Kingdom,uk,nonrecom,1,20.0,22.0
United Kingdom,uk,nonrecom,1,23.0,25.0
United Kingdom,uk,nonrecom,1,19.0,29.0
United Kingdom,uk,nonrecom,1,28.0,33.0
United Kingdom,uk,nonrecom,1,283.0,288.0
United Kingdom,uk,nonrecom,1,283.0,293.0
United Kingdom,uk,nonrecom,1,283.0,293.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
United Kingdom,uk,mixed,0,0.0,1.0
